subject,context,task,block,n_trials,bias,variability
Subject 1,Short,Reproduction,1,60,0.0194099873110123,0.166610730171228
Subject 1,Short,Reproduction,3,60,0.0386964957561843,0.152550811285607
Subject 1,Short,Reproduction,5,60,0.0374355813209235,0.170100761167056
Subject 1,Short,Reproduction,7,60,0.0934794543693982,0.168497030703582
Subject 1,Short,Reproduction,9,60,0.0770122061551253,0.164025155729105
Subject 1,Short,Reproduction,11,60,0.126829361712325,0.189934573990972
Subject 2,Short,Reproduction,1,60,-0.00198519803018276,0.143669887466025
Subject 2,Short,Reproduction,3,60,-0.0242212001406709,0.116845626445757
Subject 2,Short,Reproduction,5,60,-0.000753639550891757,0.129631679860432
Subject 2,Short,Reproduction,7,60,0.00542609416513734,0.131471933766921
Subject 2,Short,Reproduction,9,60,-0.0105559927642001,0.133360599997968
Subject 2,Short,Reproduction,11,60,-0.0028028310740022,0.103482385730718
Subject 3,Short,Reproduction,1,60,0.0655308390620509,0.102324576009327
Subject 3,Short,Reproduction,3,60,0.0684577907204972,0.141313961652192
Subject 3,Short,Reproduction,5,60,0.0926167015066094,0.122624365441532
Subject 3,Short,Reproduction,7,60,0.0359787530772422,0.108985897980968
Subject 3,Short,Reproduction,9,60,0.0212367349772127,0.114871150859519
Subject 3,Short,Reproduction,11,60,0.022625682770961,0.152921831402502
Subject 4,Short,Reproduction,1,60,0.00585483397806094,0.14848654754523
Subject 4,Short,Reproduction,3,60,0.0422387615527526,0.172223755400318
Subject 4,Short,Reproduction,5,60,0.0272216675994447,0.162874624097606
Subject 4,Short,Reproduction,7,59,0.0550317098410457,0.165366790125908
Subject 4,Short,Reproduction,9,60,0.0482393569324898,0.165820214282683
Subject 4,Short,Reproduction,11,60,0.00559158513664681,0.180886695683053
Subject 5,Short,Reproduction,1,59,0.0734190201881222,0.247684445815251
Subject 5,Short,Reproduction,3,60,0.0277607952125142,0.296083012697153
Subject 5,Short,Reproduction,5,60,0.166104847579596,0.227123479864919
Subject 5,Short,Reproduction,7,60,0.250898743780667,0.251250144259928
Subject 5,Short,Reproduction,9,60,0.184705581865221,0.306077318219567
Subject 5,Short,Reproduction,11,60,0.0659824948970718,0.236171539809709
Subject 6,Short,Reproduction,1,60,0.0396825461153118,0.20242205554762
