context,level,cumulative_probability,duration_s
Short,1,0.01,0.6
Short,2,0.08,0.718827379
Short,3,0.15,0.772181654
Short,4,0.22,0.813660091
Short,5,0.29,0.850651769
Short,6,0.36,0.886033048
Short,7,0.43,0.921435335
Short,8,0.5,0.958068843
Short,9,0.57,0.997066017
Short,10,0.64,1.039737225
Short,11,0.71,1.087927174
Short,12,0.78,1.144747695
Short,13,0.85,1.216609525
Short,14,0.92,1.32158414
Short,15,0.99,1.599963212
Long,1,0.01,0.600036788
Long,2,0.08,0.87841586
Long,3,0.15,0.983390475
Long,4,0.22,1.055252305
Long,5,0.29,1.112072826
Long,6,0.36,1.160262775
Long,7,0.43,1.202933983
Long,8,0.5,1.241931157
Long,9,0.57,1.278564665
Long,10,0.64,1.313966952
Long,11,0.71,1.349348231
Long,12,0.78,1.386339909
Long,13,0.85,1.427818346
Long,14,0.92,1.481172621
Long,15,0.99,1.6
